Sector,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Agriculture ,488.5170582,489.4160321,485.4614949,494.9390786,496.8756585,498.3876437,503.1166693,493.0439611,505.0246243,518.8563431
Building,22.7542,22.6799,22.711,22.9347,22.7615,22.8504,23.0648,23.2481,23.1306,23.6652
Bunker Fuels ,20.2885,19.0102,18.0076,18.7531,20.7462,17.8634,17.5562,16.9,18.1279,15.1172
Electricity/Heat ,65.3898,84.5936,110.0283,129.1898,124.1184,99.4278,102.7091,93.3488,94.5266,88.8133
Energy ,434.8826,470.0462,501.9853,529.6477,506.5046,470.6668,483.3909,460.3633,462.4708,440.0204
Fugitive Emissions ,27.0479,28.4366,28.5519,31.4959,32.4607,32.7297,33.3117,32.172,34.3876,34.0858
Industrial Processes ,31.39898247,33.61928746,35.32959244,35.64989742,33.8802024,31.64133705,29.8624717,30.55360636,31.53474101,34.27587566
Land-Use Change and Forestry ,266.8829576,271.7729565,264.9503522,268.4004873,274.4027085,394.6767072,400.0843262,389.1121235,397.5595762,404.9355376
Manufacturing/Construction ,110.5795,106.7603,105.3819,104.1846,100.5341,90.501,96.3232,92.4997,89.0294,83.1569
Other Fuel Combustion ,17.7692,18.4442,18.5477,19.2681,19.4441,18.985,20.4376,20.0148,20.3951,20.7151
Total excluding LUCF,1019.415034,1058.598227,1089.193408,1127.55401,1105.478108,1069.5812,1085.923233,1054.181831,1069.918901,1064.709126
Total including LUCF,1286.297992,1330.371183,1354.14376,1395.954497,1379.880817,1464.257908,1486.007559,1443.293955,1467.478477,1469.644664
Transportation ,191.342,209.1315,216.7645,222.5746,207.1857,206.1727,207.5446,199.0799,201.0015,189.584
Waste ,64.61639352,65.51670704,66.41702056,67.31733408,68.2176476,68.88541958,69.55319157,70.22096355,70.88873554,71.55650752